feature,shap_mean_abs
pm2_5,43.77939083305702
no2,8.706154708341916
pm2_5_roll6h_max,6.120739461387086
so2,4.339095545124877
o3_roll48h_mean,3.2892837924175944
aqi,3.1476386721651948
o3_roll48h_std,2.9105210538571837
co,2.6290043989957024
no2_roll48h_std,2.480617326589606
pm10_lag72h,2.3507015034175907
pm10_roll48h_std,2.2156940635802744
so2_roll24h_std,2.1079067256983954
pm2_5_lag1h,2.002418914762909
pm2_5_roll12h_max,1.9652983482085606
pm2_5_roll24h_max,1.953204960498222
aqi_lag1h,1.9040215530471014
pm10,1.6537008281182353
no2_roll48h_mean,1.5219892867079226
pm10_roll48h_max,1.4727662489750868
pm2_5_roll48h_max,1.4698099338519004
so2_roll12h_max,1.4537497299998956
co_roll48h_std,1.3676164313673853
pm10_roll48h_mean,1.332682281583083
aqi_roll6h_max,1.3311593491797777
day_of_year,1.2682223142532505
pm2_5_roll6h_mean,1.2365961647413575
so2_roll48h_max,1.127081116123539
no2_roll6h_mean,0.9744861097753327
aqi_roll24h_max,0.8867988285383773
no2_lag48h,0.8610700050918276
so2_lag72h,0.8050003020347811
so2_roll6h_max,0.8013177968860593
o3_lag12h,0.7940477287183112
o3_lag6h,0.7877933172778422
pm10_roll24h_std,0.7566884347874016
pm10_roll12h_mean,0.7517631759070437
aqi_roll12h_max,0.7333793502933903
co_lag6h,0.7144186471555252
aqi_roll48h_max,0.7087647114874014
no2_roll6h_max,0.7071339510520697
co_roll48h_mean,0.6802647622542013
o3_roll12h_max,0.6628768354492673
o3_lag72h,0.6297558587710589
o3_lag48h,0.6296532465864623
no2_roll48h_max,0.6242884928952438
so2_roll48h_std,0.5802362696942688
so2_lag48h,0.557844765699413
aqi_roll48h_mean,0.5332765906219623
so2_roll24h_mean,0.519927149896104
aqi_roll12h_mean,0.4984535614958179
month_sin,0.48737392759184683
pm2_5_lag24h,0.45778144993652214
month,0.44728634760365876
no2_roll24h_mean,0.4335194947181977
no2_roll12h_std,0.4329696748144042
co_roll48h_max,0.4280562088874248
pm2_5_roll48h_mean,0.4269646645314582
aqi_roll48h_std,0.4177501509389982
pm10_roll24h_max,0.40786771350255574
pm10_lag3h,0.40225432473424244
aqi_change_rate,0.4013916092686642
so2_roll12h_std,0.3983108421344729
pm2_5_lag72h,0.3972287341553998
o3_lag24h,0.39243593977252755
co_roll12h_std,0.38799451183244527
aqi_roll24h_mean,0.3730864067839526
no2_roll24h_std,0.36784739575911735
pm2_5_roll6h_std,0.36181722235072306
co_lag24h,0.3580178741617161
o3_roll12h_mean,0.35659377358936406
aqi_lag72h,0.3532153467235071
pm2_5_roll12h_mean,0.35185762133994714
so2_roll6h_std,0.3472761951920074
aqi_roll6h_mean,0.34468291119557
dow_cos,0.3400740065809344
co_lag1h,0.3378153790869328
pm2_5_roll24h_std,0.32602981675011117
pm10_roll6h_std,0.3213055023320065
co_lag48h,0.31659416201313306
so2_lag1h,0.31503569553617305
pm2_5_lag6h,0.30519942460327343
pm2_5_roll24h_mean,0.3038614235548892
aqi_roll24h_std,0.29580943218891337
no2_lag3h,0.2873361990875655
aqi_roll12h_std,0.28069131941762526
no2_roll12h_mean,0.2780920215799565
pm10_lag48h,0.27350402184262906
pm2_5_roll12h_std,0.26855385713666813
no2_lag24h,0.2602469742608128
o3_roll48h_max,0.2583428790903579
so2_lag3h,0.25150757331783263
pm10_lag6h,0.2494082367405972
no2_lag72h,0.24875633420792007
hour_sin,0.24063868787703457
pm10_roll24h_mean,0.2386445890110946
o3_roll6h_std,0.2379931647356089
o3,0.23624471550617243
aqi_lag6h,0.2307571813786405
o3_roll12h_std,0.22968339154105077
co_roll24h_std,0.22826542978908948
co_lag3h,0.22585366584042482
pm10_lag1h,0.22338162983189774
co_lag72h,0.22170713329406355
no2_lag1h,0.21966164457102894
so2_lag24h,0.20801161223989814
o3_roll6h_mean,0.2059107105048013
pm10_roll12h_std,0.20590073871455947
o3_roll24h_max,0.20096224171373606
pm2_5_roll48h_std,0.19869990847422958
so2_roll24h_max,0.19868647377992169
pm10_lag24h,0.19808273851585917
so2_roll6h_mean,0.1969964925267134
no2_roll12h_max,0.19630556759533618
pm10_roll6h_mean,0.193947328887473
co_roll6h_std,0.18731828220565377
aqi_roll6h_std,0.1807017879205636
co_roll6h_mean,0.17880832218195114
co_lag12h,0.17716505430498602
o3_lag3h,0.1723779331380089
hour_cos,0.17203487231348347
hour,0.17164392265962372
o3_roll24h_std,0.1696613817867814
month_cos,0.16468814786123245
pm2_5_lag12h,0.16468448481002534
o3_roll6h_max,0.16266822642723813
aqi_lag24h,0.1607744918215532
co_roll24h_mean,0.1605937503383267
no2_roll6h_std,0.1596316783034533
pm10_roll12h_max,0.15626365161585812
pm2_5_lag48h,0.15234490532977166
aqi_lag12h,0.1493860079905737
co_roll12h_mean,0.14770309931346692
aqi_lag3h,0.14686233748856456
o3_roll24h_mean,0.12888167588149485
so2_roll12h_mean,0.12550049176826872
so2_lag6h,0.12534869207950566
aqi_lag48h,0.12051719807708249
no2_roll24h_max,0.1175245541037279
pm10_roll6h_max,0.11481376962438196
so2_roll48h_mean,0.11259934673312233
so2_lag12h,0.11116876413589204
co_roll6h_max,0.11109105396175438
co_roll12h_max,0.109120822738816
pm2_5_lag3h,0.10214976372243124
pm10_lag12h,0.09991226155385856
no2_lag6h,0.08898414406362834
co_roll24h_max,0.08523615204426978
o3_lag1h,0.08243377776131372
dow_sin,0.07564590161664954
no2_lag12h,0.06646828116974772
day_of_week,0.05184180318246808
nh3,0.031717008866903845
is_weekend,0.02130501735274585
no,0.014647362076669172
